"Código da Emenda";"Ano da Emenda";"Tipo de Emenda";"Código do Autor da Emenda";"Nome do Autor da Emenda";"Número da emenda";"Localidade do gasto";"Código Função";"Nome Função";"Código Subfunção";"Nome Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos A Pagar Inscritos";"Valor Restos A Pagar Cancelados";"Valor Restos A Pagar Pagos"
"201528380002";"2015";"Emenda Individual - Transferências";"2838";"MANDETTA";"0002";"MATO GROSSO DO SUL (UF)";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"3912386,00";"0,00";"0,00";"0,00";"3912386,00";"0,00"
"201535220001";"2015";"Emenda Individual - Transferências";"3522";"MANOEL SALVIANO";"0001";"NOVA OLINDA - CE";"15";"Urbanismo";"451";"infra-estrutura urbana";"2212387,00";"0,00";"0,00";"0,00";"0,00";"2212387,00"
"201517220001";"2015";"Emenda Individual - Transferências";"1722";"MARCOS MEDRADO";"0001";"BOM JESUS DA LAPA - BA";"15";"Urbanismo";"451";"infra-estrutura urbana";"3912387,00";"0,00";"0,00";"0,00";"0,00";"3912387,00"
"201532990008";"2015";"Emenda Individual - Transferências";"3299";"MENDONCA FILHO";"0008";"PERNAMBUCO (UF)";"18";"Gestão ambiental";"544";"Recursos hídricos";"1612300,00";"0,00";"0,00";"0,00";"1612300,00";"0,00"
"201524220001";"2015";"Emenda Individual - Transferências";"2422";"MOREIRA MENDES";"0001";"ARIQUEMES - RO";"05";"Defesa nacional";"244";"Assistência comunitária";"2612388,00";"0,00";"0,00";"0,00";"2612388,00";"0,00"
"201528450025";"2015";"Emenda Individual - Transferências";"2845";"NELSON PADOVANI";"0025";"CORNÉLIO PROCÓPIO - PR";"12";"Educação";"364";"Ensino superior";"3912387,00";"142766,91";"0,00";"0,00";"4132,61";"3908254,39"
"201533110003";"2015";"Emenda Individual - Transferências";"3311";"NEWTON CARDOSO";"0003";"MINAS GERAIS (UF)";"10";"Saúde";"122";"Administração geral";"3412387,99";"0,00";"0,00";"0,00";"0,00";"3412387,99"
"201527130011";"2015";"Emenda Individual - Transferências";"2713";"NILDA GONDIM";"0011";"PARAÍBA (UF)";"18";"Gestão ambiental";"544";"Recursos hídricos";"312387,00";"156581,26";"156581,26";"0,00";"4406,48";"151399,26"
"201534920005";"2015";"Emenda Individual - Transferências";"3492";"NILSON PINTO";"0005";"PARÁ (UF)";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"1231365,42";"0,00";"0,00";"0,00";"0,00";"1231365,42"
"201523600009";"2015";"Emenda Individual - Transferências";"2360";"OSMAR JUNIOR";"0009";"OEIRAS - PI";"15";"Urbanismo";"244";"Assistência comunitária";"612300,00";"30615,00";"30615,00";"0,00";"0,00";"581685,00"
"201528110010";"2015";"Emenda Individual - Transferências";"2811";"OTONIEL LIMA";"0010";"MACEDÔNIA - SP";"20";"Agricultura";"608";"Promoção da produção agropecuária";"612378,00";"0,00";"0,00";"0,00";"15309,45";"597068,55"
"201533220011";"2015";"Emenda Individual - Transferências";"3322";"PAULO FEIJO";"0011";"SÃO FRANCISCO DE ITABAPOANA - RJ";"27";"Desporto e lazer";"812";"Desporto comunitário";"471231,00";"0,00";"0,00";"0,00";"0,00";"471231,00"
"201533220013";"2015";"Emenda Individual - Transferências";"3322";"PAULO FEIJO";"0013";"SÃO FRANCISCO DE ITABAPOANA - RJ";"10";"Saúde";"301";"Atenção básica";"450000,00";"0,00";"0,00";"326400,00";"0,00";"123600,00"
"201535680010";"2015";"Emenda Individual - Transferências";"3568";"PAULO MAGALHAES";"0010";"BAHIA (UF)";"15";"Urbanismo";"451";"infra-estrutura urbana";"3912387,00";"0,00";"0,00";"0,00";"57994,13";"3854392,87"
"201524330002";"2015";"Emenda Individual - Transferências";"2433";"PINTO ITAMARATY";"0002";"LIMA CAMPOS - MA";"27";"Desporto e lazer";"812";"Desporto comunitário";"812387,00";"0,00";"0,00";"0,00";"0,01";"812386,99"
"201528290016";"2015";"Emenda Individual - Transferências";"2829";"POLICARPO";"0016";"VALPARAÍSO DE GOIÁS - GO";"10";"Saúde";"122";"Administração geral";"1912388,00";"0,00";"0,00";"0,00";"0,00";"1912388,00"
"201526930004";"2015";"Emenda Individual - Transferências";"2693";"PROFESSORA DORINHA SEABRA REZENDE";"0004";"TOCANTINS (UF)";"15";"Urbanismo";"451";"infra-estrutura urbana";"3812388,00";"0,00";"0,00";"0,00";"712350,78";"3100037,22"
"201521650004";"2015";"Emenda Individual - Transferências";"2165";"REBECCA GARCIA";"0004";"AMAZONAS (UF)";"05";"Defesa nacional";"244";"Assistência comunitária";"3912385,00";"0,00";"0,00";"0,00";"3112385,00";"800000,00"
"201525650012";"2015";"Emenda Individual - Transferências";"2565";"RENATO MOLLING";"0012";"RIO GRANDE DO SUL (UF)";"23";"Comércio e serviços";"695";"Turismo";"912387,00";"0,00";"0,00";"0,00";"34784,38";"877602,62"
"201512340004";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0004";"SÃO PAULO - SP";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"800000,00";"0,00";"0,00";"0,00";"0,00";"800000,00"
"201512340005";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0005";"SÃO PAULO (UF)";"19";"Ciência e Tecnologia";"571";"Desenvolvimento científico";"988230,57";"0,00";"0,00";"0,00";"0,00";"988230,57"
"201512340006";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0006";"SÃO PAULO - SP";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"175500,00";"0,00";"0,00";"0,00";"0,00";"175500,00"
"201512340007";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0007";"CAMPINAS - SP";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"501544,00";"0,00";"0,00";"0,00";"0,00";"501544,00"
"201512340008";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0008";"CAMPINAS - SP";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"395500,00";"0,00";"0,00";"0,00";"0,00";"395500,00"
"201512340009";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0009";"SANTOS - SP";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"249940,00";"0,00";"0,00";"0,00";"0,00";"249940,00"
"201512340010";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0010";"SÃO JOÃO DA BOA VISTA - SP";"10";"Saúde";"301";"Atenção básica";"299955,00";"0,00";"0,00";"0,00";"0,00";"299955,00"
"201512340011";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0011";"ADAMANTINA - SP";"12";"Educação";"847";"Transferências para a educação básica";"296835,60";"0,00";"0,00";"0,00";"296835,60";"0,00"
"201512340012";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0012";"ALVINLÂNDIA - SP";"12";"Educação";"847";"Transferências para a educação básica";"296567,49";"0,00";"0,00";"0,00";"296567,49";"0,00"
"201512340013";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0013";"FERNANDÓPOLIS - SP";"10";"Saúde";"301";"Atenção básica";"300000,00";"0,00";"0,00";"0,00";"0,00";"300000,00"
"201512340016";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0016";"ITAPECERICA DA SERRA - SP";"10";"Saúde";"301";"Atenção básica";"299926,29";"0,00";"0,00";"0,00";"0,00";"299926,29"
"201512340017";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0017";"NOVA GUATAPORANGA - SP";"10";"Saúde";"301";"Atenção básica";"181715,00";"0,00";"0,00";"0,00";"0,00";"181715,00"
"201512340020";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0020";"RIBEIRÃO DO SUL - SP";"10";"Saúde";"301";"Atenção básica";"248550,00";"0,00";"0,00";"0,00";"0,00";"248550,00"
"201512340021";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0021";"RIBEIRÃO DO SUL - SP";"12";"Educação";"847";"Transferências para a educação básica";"149603,50";"0,00";"0,00";"0,00";"149603,50";"0,00"
"201512340022";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0022";"SÃO BENTO DO SAPUCAÍ - SP";"10";"Saúde";"301";"Atenção básica";"209320,00";"0,00";"0,00";"0,00";"0,00";"209320,00"
"201512340023";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0023";"TEJUPÁ - SP";"10";"Saúde";"301";"Atenção básica";"299540,00";"0,00";"0,00";"199992,00";"0,00";"99548,00"
"201512340024";"2015";"Emenda Individual - Transferências";"1234";"ROBERTO FREIRE";"0024";"TREMEMBÉ - SP";"10";"Saúde";"301";"Atenção básica";"194232,80";"0,00";"0,00";"0,00";"0,00";"194232,80"
"201527880004";"2015";"Emenda Individual - Transferências";"2788";"ROMARIO";"0004";"RIO DE JANEIRO (UF)";"27";"Desporto e lazer";"812";"Desporto comunitário";"912387,00";"0,00";"0,00";"0,00";"889577,32";"22809,68"
"201528460002";"2015";"Emenda Individual - Transferências";"2846";"ROSANE FERREIRA";"0002";"SANTA AMÉLIA - PR";"20";"Agricultura";"608";"Promoção da produção agropecuária";"312387,00";"0,00";"0,00";"0,00";"7809,67";"304577,33"
"201519610004";"2015";"Emenda Individual - Transferências";"1961";"SANDES JUNIOR";"0004";"GOIÂNIA - GO";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"912392,00";"0,00";"0,00";"0,00";"0,00";"912392,00"
"201528470003";"2015";"Emenda Individual - Transferências";"2847";"SANDRO ALEX";"0003";"PARANÁ (UF)";"15";"Urbanismo";"451";"infra-estrutura urbana";"1112387,00";"0,00";"0,00";"0,00";"0,00";"1112387,00"
"201529140004";"2015";"Emenda Individual - Transferências";"2914";"SERGIO PETECAO";"0004";"ACRE (UF)";"15";"Urbanismo";"451";"infra-estrutura urbana";"812388,00";"0,00";"0,00";"0,00";"0,00";"812388,00"
"201529140010";"2015";"Emenda Individual - Transferências";"2914";"SERGIO PETECAO";"0010";"Nacional";"10";"Saúde";"122";"Administração geral";"112300,00";"0,00";"0,00";"0,00";"112300,00";"0,00"
"201534960001";"2015";"Emenda Individual - Transferências";"3496";"SILAS CAMARA";"0001";"AMAZONAS (UF)";"10";"Saúde";"122";"Administração geral";"2912387,96";"0,00";"0,00";"0,00";"0,00";"2912387,96"
"201513450001";"2015";"Emenda Individual - Transferências";"1345";"SIMAO SESSIM";"0001";"RIO DE JANEIRO (UF)";"15";"Urbanismo";"451";"infra-estrutura urbana";"2000000,00";"0,00";"0,00";"0,00";"987600,01";"1012399,99"
"201528350004";"2015";"Emenda Individual - Transferências";"2835";"THIAGO PEIXOTO";"0004";"GOIÁS (UF)";"15";"Urbanismo";"451";"infra-estrutura urbana";"3412379,59";"0,00";"0,00";"98620,00";"493100,00";"2820659,59"
"201529100008";"2015";"Emenda Individual - Transferências";"2910";"VANESSA GRAZZIOTIN";"0008";"JAPURÁ - AM";"05";"Defesa nacional";"244";"Assistência comunitária";"812332,00";"0,00";"0,00";"0,00";"812332,00";"0,00"
"201526760007";"2015";"Emenda Individual - Transferências";"2676";"VINICIUS GURGEL";"0007";"AMAPÁ (UF)";"05";"Defesa nacional";"244";"Assistência comunitária";"3912388,00";"0,00";"0,00";"0,00";"1672116,00";"2240272,00"
